cluster_handle,mean_duration,n_segments,raw_cluster_id,support_root_families,top_event,top_predicates,unknown_fraction
C00,3.111111111111111,135,0,8,detour_start,contact_absent;object_stationary;collision_detected,0.8333333333333334
C01,5.758241758241758,273,1,35,none,contact_present;object_stationary,0.9486146129003271
C02,2.0878048780487806,410,2,70,none,contact_present;object_inside_goal;object_stationary;object_moving,0.9585365853658536
C03,3.0,446,3,79,contact_on,contact_present;object_stationary,0.36322869955156944
C04,10.740384615384615,208,4,35,none,collision_detected;contact_present;object_stationary,0.4400113241459395
C05,3.2127659574468086,329,5,54,none,contact_present;object_stationary;collision_detected;object_moving,0.7445288753799392
C06,8.772727272727273,264,6,35,none,contact_present;object_stationary,0.9207279830859376
C07,3.0,137,7,35,none,contact_present;object_stationary;object_moving,1.0
C08,3.0,126,8,28,recovery_start,object_stationary;contact_absent;contact_present;collision_detected,0.24603174603174602
C09,4.435146443514644,239,9,35,none,contact_present;object_stationary;object_inside_goal;object_moving,0.8560802284651657
C10,9.595238095238095,84,10,14,none,contact_absent;object_stationary,0.0
