episode_id,family_id,case_id,loss,rehold,n_states,n_ckpt,eef_error_m,object_error_m,attachment_shift_m,taxonomy,pose_writes,returns,notes,raw
P1V6_931100_C2_LOSS_RETURN_P40_93310001,931100,C2_LOSS_RETURN_P40,True,True,251,1,0.0,0.03429730647320949,0.03429730647320949,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 250}]","[""regrasp_failed""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931100/C2_LOSS_RETURN_P40/rollout_00
P1V6_931100_C4_THREE_RETURNS_P40_93310003,931100,C4_THREE_RETURNS_P40,True,True,451,2,0.17999999999999994,0.5861070904331905,0.6637895853855389,F3_EEF_TARGET_NOT_REACHED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 250}, {""ckpt"": ""A_loop1"", ""returned_move_ok"": true, ""end_index"": 450}]","[""regrasp_failed"", ""regrasp_failed"", ""loop_1_not_held_after""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931100/C4_THREE_RETURNS_P40/rollout_00
P1V6_931101_C2_LOSS_RETURN_P40_93310101,931101,C2_LOSS_RETURN_P40,True,True,222,1,0.0,0.030700986179826997,0.030700986179826997,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 221}]",[],/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931101/C2_LOSS_RETURN_P40/rollout_00
P1V6_931101_C3_LOSS_RETURN_P80_93310102,931101,C3_LOSS_RETURN_P80,True,True,264,1,0.0,0.03079316585329818,0.03079316585329818,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 263}]",[],/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931101/C3_LOSS_RETURN_P80/rollout_00
P1V6_931101_C4_THREE_RETURNS_P40_93310103,931101,C4_THREE_RETURNS_P40,True,True,392,2,0.17999999999999994,0.23468604966213805,0.3898444478013476,F3_EEF_TARGET_NOT_REACHED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 221}, {""ckpt"": ""A_loop1"", ""returned_move_ok"": true, ""end_index"": 391}]","[""regrasp_failed"", ""loop_1_not_held_after""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931101/C4_THREE_RETURNS_P40/rollout_00
P1V6_931102_C2_LOSS_RETURN_P40_93310201,931102,C2_LOSS_RETURN_P40,True,True,235,1,0.0,0.03317062387880181,0.03317062387880181,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 234}]",[],/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931102/C2_LOSS_RETURN_P40/rollout_00
P1V6_931102_C3_LOSS_RETURN_P80_93310202,931102,C3_LOSS_RETURN_P80,True,True,284,1,0.0,0.032750486630232015,0.032750486630232015,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 283}]",[],/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931102/C3_LOSS_RETURN_P80/rollout_00
P1V6_931102_C4_THREE_RETURNS_P40_93310203,931102,C4_THREE_RETURNS_P40,True,True,418,2,0.17999999999999994,0.42079427197387814,0.52363760013692,F3_EEF_TARGET_NOT_REACHED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 234}, {""ckpt"": ""A_loop1"", ""returned_move_ok"": true, ""end_index"": 417}]","[""regrasp_failed"", ""loop_1_not_held_after""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931102/C4_THREE_RETURNS_P40/rollout_00
P1V6_931104_C2_LOSS_RETURN_P40_93310401,931104,C2_LOSS_RETURN_P40,True,True,231,1,0.0,0.03211054851271816,0.03211054851271816,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 230}]","[""regrasp_failed""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931104/C2_LOSS_RETURN_P40/rollout_00
P1V6_931104_C3_LOSS_RETURN_P80_93310402,931104,C3_LOSS_RETURN_P80,True,True,264,1,0.0,0.03258876833561899,0.03258876833561899,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 263}]","[""regrasp_failed""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931104/C3_LOSS_RETURN_P80/rollout_00
